group	N	t1	t2	pr.g1	pr.g2	mean.corr1	mean.corr2	mean.diff
988	988	3	14.0199085161525	-3.18545504866403	0	0.98	0.666376983881198	-0.186067138021493	0.852444121902691
28	28	3	87.9418414463536	-3.21471884491778	0	0.98	0.692913014070449	-0.116925277906343	0.809838291976792
490	490	3	152.092652197321	-1.77161356569217	0	0.91	0.620327442066382	-0.169425803408108	0.789753245474489
40	40	4	24.4586313772822	-2.42395057410828	0	0.99	0.631359361709677	-0.147765358707604	0.779124720417281
282	282	4	38.5359795611619	-2.310715881554	0	0.99	0.624461178662506	-0.13825829040384	0.762719469066346
148	148	3	19.9652898459784	-0.379465972057692	0	0.7	0.684630203279123	-0.0668095654783135	0.751439768757436
461	461	3	33.6919359277336	0.118013153786496	0	0.48	0.74762311407044	0.0214229410363965	0.726200173034044
128	128	3	13.8110048687165	-0.888604184506665	0	0.79	0.653955951456634	-0.0704006183161864	0.72435656977282
9	9	4	21.8408393545683	-0.156499250356841	0	0.56	0.695258990949391	-0.0270076192802763	0.722266610229668
346	346	3	19.0569236131449	-0.960773737234902	0	0.79	0.631888357894643	-0.0824915832624606	0.714379941157103
811	811	3	27.6100700300023	-0.602678183503068	0	0.76	0.643476332495229	-0.0605722886386655	0.704048621133894
151	151	3	24.5521729290654	-0.282814258972891	0	0.63	0.681941988627097	-0.0170542648975336	0.698996253524631
1000	1000	3	28.231059320287	0.685181582453936	0	0.35	0.746679190025934	0.0478183395310379	0.698860850494896
200	200	3	12.2773627602605	-0.381973748286588	0	0.7	0.670741063287153	-0.0191111818674069	0.68985224515456
739	739	4	19.0769730842016	-0.358903734827008	0	0.63	0.652467537469402	-0.0304732788763086	0.68294081634571
211	211	14	71.8140722026792	2.58013461916979	0	0.06	0.740378395183672	0.0642634251207203	0.676114970062952
167	167	3	18.1558040758778	0.0161187558397287	0	0.55	0.675269761313811	0.00384387915272955	0.671425882161082
273	273	3	16.9444512835882	-0.121196202137802	0	0.61	0.660229714626236	-0.0109118267997445	0.671141541425981
160	160	3	37.8397236073492	0.138472105389363	0	0.48	0.688805562244593	0.0266808271557401	0.662124735088853
447	447	4	17.5646588435757	0.39838937981789	0	0.37	0.677226726464237	0.020023309990112	0.657203416474125
280	280	3	40.586009480093	-0.0690378802720837	0	0.58	0.632708499452179	-0.00605330594077401	0.638761805392953
166	166	5	25.7117709775182	0.318824539803066	0	0.42	0.658895079111975	0.0283668627975411	0.630528216314434
111	111	4	32.1546652609266	1.4882869574212	0	0.17	0.679801324868321	0.0540239912221503	0.625777333646171
59	59	3	30.4249938527546	0.852754171654909	0	0.29	0.67836334018783	0.0534085874630902	0.624954752724739
87	87	3	17.7308260056198	1.1082748702338	0	0.26	0.743030224516019	0.120680580897241	0.622349643618778
468	468	4	25.8718937156521	0.434137374682147	0	0.35	0.645307464508142	0.0235273977460333	0.621780066762109
156	156	4	22.7830461976092	0.637275588706555	0	0.3	0.68136681944179	0.0662130342282856	0.615153785213504
116	116	5	29.027013995547	0.818122788392203	0	0.28	0.662908613304331	0.0551649549242918	0.607743658380039
76	76	7	38.5787529383768	0.792245972842199	0	0.23	0.648928161970298	0.042268203030211	0.606659958940087
541	541	3	48.6167260989476	0.13239329484222	0	0.48	0.617031278394243	0.0152012643488609	0.601830014045382
872	872	3	50.6121968788991	0.652250153624576	0	0.35	0.64582687990628	0.0441987459723236	0.601628133933957
18	18	4	23.938258842546	0.993077451610889	0	0.22	0.681036293580508	0.0836427504955149	0.597393543084993
785	785	3	59.299324417196	0.492150059122766	0	0.36	0.619011418792069	0.0230568646290087	0.59595455416306
45	45	4	48.5406648539345	1.08053312873967	0	0.22	0.710209576533163	0.118813735903157	0.591395840630006
300	300	3	30.7889426813628	0.700149247245361	0	0.34	0.633470312406372	0.0455118379250931	0.587958474481279
334	334	4	27.9538889259129	0.797086422391721	0	0.26	0.649169010776942	0.0687418449922422	0.5804271657847
344	344	3	31.388868457829	1.15681255933365	0	0.26	0.740168404961558	0.172245806645266	0.567922598316293
188	188	8	35.1652734184791	1.9695001586558	0	0.06	0.664680535743543	0.101534643166062	0.563145892577482
153	153	4	26.0092179208888	1.40668141199183	0	0.18	0.660871375343185	0.11998181932252	0.540889556020665
347	347	3	20.0256084394702	0.788520006584348	0	0.31	0.629483980186071	0.0890989577683715	0.5403850224177
310	310	3	11.613526525906	0.736397248923366	0	0.32	0.685930776110248	0.147071260164923	0.538859515945325
485	485	3	37.0507457996829	0.876779863428012	0	0.29	0.649004142859226	0.118872141753372	0.530132001105854
365	365	4	31.5811261436666	1.56971161705529	0	0.17	0.688785379424558	0.165343320308827	0.523442059115731
78	78	3	12.8209251864026	1.86295021876126	0	0.18	0.639651003567065	0.122100886060674	0.517550117506391
264	264	4	29.8736911736534	2.20499776490192	0	0.1	0.722945501598536	0.207039189157157	0.515906312441379
158	158	3	10.3180048708343	1.71990137277537	0	0.18	0.656684992654569	0.143238997344289	0.513445995310279
137	137	6	49.0553760110412	2.94618349425109	0	0.03	0.723138799428207	0.21138644411056	0.511752355317646
27	27	7	36.0788485090601	2.52686975025432	0	0.02	0.682782338821284	0.171436078038993	0.511346260782291
560	560	4	21.402756109038	2.64062945342354	0	0.08	0.636495159757575	0.125392529320571	0.511102630437004
203	203	4	25.9685215948553	1.66943608165651	0	0.16	0.66670625228476	0.156186000126936	0.510520252157824
104	104	22	103.238730173745	10.576544307926	0	0	0.647388257009645	0.149920214811989	0.497468042197655
2	2	6	38.0510584173735	2.53232171408835	0	0.04	0.62767731849413	0.131677153594305	0.496000164899825
624	624	3	24.3067519315786	1.11570752023318	0	0.26	0.666515938642894	0.173544044548477	0.492971894094417
579	579	3	31.0862267800459	1.46447501510012	0	0.2	0.649148437719414	0.159300351089143	0.489848086630271
147	147	3	19.7662997488583	1.62878554505144	0	0.18	0.652156476669984	0.168718391119798	0.483438085550186
44	44	5	56.914066138835	2.59830343321152	0	0.01	0.633327640671874	0.156191429145163	0.477136211526711
30	30	4	35.2165677256561	3.70628014379325	0	0.03	0.690437740021616	0.214056528709595	0.476381211312022
193	193	3	16.7544200582891	3.42427072677241	0	0.08	0.757621836386146	0.281551244772223	0.476070591613923
400	400	6	29.708847652816	3.08404858937445	0	0.03	0.673385010865877	0.203958184750087	0.469426826115791
189	189	5	31.5136507947194	3.87374400644911	0	0	0.67290249627198	0.205120325769464	0.467782170502515
248	248	4	24.6203504739488	1.58996671791467	0	0.17	0.683284229031272	0.21557984378463	0.467704385246641
1268	1268	3	43.986066865059	1.28480109089728	0	0.22	0.628018350058713	0.163692476309261	0.464325873749452
58	58	3	19.1016628115592	6.90959682087636	0	0.04	0.702281105632486	0.239841153865317	0.462439951767169
201	201	4	29.7721033190611	2.69942206667342	0	0.08	0.702418251605962	0.25497518683204	0.447443064773922
322	322	3	35.3136285570613	1.12378126018605	0	0.26	0.659283805534248	0.213258781544856	0.446025023989391
518	518	3	14.6710820356285	4.27950969252884	0	0.08	0.721529014413541	0.283999153656012	0.43752986075753
214	214	3	14.5944174528031	1.71618306511032	0	0.18	0.666515246282333	0.231594514358172	0.434920731924161
124	124	3	22.2088419647145	1.69066741664853	0	0.18	0.642757156602988	0.212298187538984	0.430458969064005
48	48	3	136.220440646143	5.70064623366499	0	0.04	0.704891351107303	0.277687225228357	0.427204125878946
11	11	4	19.9153592134564	3.60074053706578	0	0.04	0.640359112556021	0.22314351352945	0.417215599026571
125	125	5	26.7438594341324	2.24939663410509	0	0.02	0.667427934225019	0.257675001935823	0.409752932289195
119	119	3	14.5377674027426	1.40517716487068	0	0.2	0.692074621080148	0.283308479526538	0.408766141553611
138	138	5	26.9379674403635	3.24290685781238	0	0.01	0.686506350846964	0.278559814712208	0.407946536134756
292	292	3	15.0178463927132	1.47303210982724	0	0.2	0.694163813581737	0.286285952136184	0.407877861445553
61	61	23	112.652721091444	17.8072342102166	0	0	0.681467901090169	0.273913291249726	0.407554609840443
80	80	3	17.6005738235675	2.5828571796325	0	0.13	0.669387715407785	0.261905243704744	0.407482471703041
613	613	3	22.0731036831204	2.91737983657027	0	0.09	0.681090367802535	0.27412601415821	0.406964353644326
176	176	67	334.021514414035	58.769353963589	0	0	0.694767172111505	0.293975970533994	0.40079120157751
212	212	17	75.5585345325245	15.11323694247	0	0	0.682294387494638	0.286816348573344	0.395478038921295
