     group  N         t1            t2 pr.g1 pr.g2 mean.corr1    mean.corr2
301    301  3  34.999432 -2.282339e+00  0.00  0.97  0.7396121 -0.3881042240
345    345  3  16.977776 -1.532003e+00  0.01  0.90  0.7208147 -0.3057070281
225    225  3 155.298104 -1.515730e+00  0.00  0.90  0.6995386 -0.2868115142
44      44  3  66.926609 -1.441970e+00  0.00  0.88  0.6958237 -0.2775499803
67      67  3  11.583685 -1.826355e+00  0.02  0.92  0.6625571 -0.3054820773
809    809  3  51.944759 -8.616016e-01  0.00  0.79  0.7126734 -0.2512031200
247    247  3  15.625166 -1.662389e+00  0.01  0.91  0.6794195 -0.2816876023
578    578  3   7.960470 -6.857124e+00  0.02  1.00  0.6744456 -0.2500632709
33      33  3  16.277848 -1.666604e+00  0.01  0.91  0.7497012 -0.1531605266
552    552  3  20.206495 -1.611328e+00  0.01  0.91  0.6499683 -0.2217833962
243    243  3 374.675194 -5.603824e-01  0.00  0.69  0.7409882 -0.1293890830
152    152  4  18.512745 -1.211304e+00  0.00  0.90  0.6621547 -0.1822738814
198    198  3  15.475256 -2.466874e+00  0.01  0.97  0.6399279 -0.1971785622
426    426  3  11.950431 -6.015274e-01  0.01  0.70  0.6769853 -0.1472914592
373    373  3  23.330825 -2.631325e+00  0.00  0.99  0.6379342 -0.1768368533
62      62  7  59.756348 -1.065984e+00  0.00  0.92  0.7201002 -0.0935218682
510    510  4  15.889287 -5.977371e-01  0.00  0.70  0.7087327 -0.1040247313
151    151  4  25.838928 -4.202845e-01  0.00  0.61  0.7121709 -0.0875793783
324    324  3  70.602329  2.971587e-01  0.00  0.41  0.8079571  0.0173276280
246    246  3   8.812646 -6.398973e-01  0.02  0.71  0.6472188 -0.1372159278
800    800  5  24.567903 -7.681323e-01  0.00  0.82  0.6797122 -0.1014321719
915    915  3  13.831182 -3.033120e-01  0.01  0.61  0.6975824 -0.0822949241
314    314  4  15.834486 -7.723005e-01  0.00  0.78  0.6735647 -0.1047511819
206    206  3  14.983711 -2.226650e-01  0.01  0.60  0.6881340 -0.0872615837
554    554  3   7.543243 -1.837906e-01  0.02  0.60  0.6988597 -0.0706914898
404    404  4  19.900837 -1.002345e+00  0.00  0.84  0.6853747 -0.0779312770
123    123  4  34.716825 -6.002387e-01  0.00  0.70  0.6579686 -0.0938210246
729    729  3  26.787970 -2.957969e-01  0.00  0.61  0.6378901 -0.1080817139
53      53  4  24.841575  3.982468e-02  0.00  0.41  0.7454617  0.0048017239
589    589  3  15.733440 -4.361506e-01  0.01  0.63  0.6851061 -0.0548738517
35      35  5  28.533124 -1.867757e-01  0.00  0.55  0.7165792 -0.0124525558
287    287  3  15.826942 -1.941302e-01  0.01  0.60  0.6631210 -0.0650015808
280    280  6  36.096855 -5.075546e-01  0.00  0.69  0.6765605 -0.0485329806
387    387  4  65.102909 -2.813778e-03  0.00  0.42  0.7129802 -0.0007248798
2        2  3  10.081082 -2.778354e-04  0.02  0.53  0.7118400 -0.0001276126
193    193  7  32.009695 -6.638516e-02  0.00  0.49  0.7071655 -0.0040395174
319    319  5  29.455214 -6.651569e-02  0.00  0.50  0.7020982 -0.0073549156
109    109  4  19.526825  5.182276e-02  0.00  0.40  0.7103705  0.0034406710
157    157  7  41.898544 -1.535982e-01  0.00  0.53  0.6964093 -0.0101244733
73      73  3  20.109791  7.317706e-02  0.01  0.51  0.7219653  0.0206460726
813    813  4  26.100350  2.287718e-02  0.00  0.41  0.7028700  0.0038034170
302    302  4  24.569192  2.482675e-01  0.00  0.34  0.7409032  0.0419699000
3        3 34 155.697673  1.759069e-01  0.00  0.39  0.7012601  0.0025870094
21      21 12  51.184280 -8.376484e-01  0.00  0.76  0.6590528 -0.0352789304
264    264  3  11.693324 -4.116415e-01  0.01  0.62  0.6746079 -0.0166723893
181    181  3  17.106494  3.639025e-01  0.01  0.38  0.7812121  0.0902987116
173    173  5  32.958329  1.304062e-01  0.00  0.46  0.7005718  0.0119685576
472    472  7  36.418400 -5.695056e-01  0.00  0.70  0.6426135 -0.0419275886
202    202  5  23.922048  3.467868e-01  0.00  0.35  0.7115159  0.0401024437
112    112  3  12.602367  1.977837e-01  0.01  0.47  0.7041512  0.0380333477
477    477  3  18.099890  3.762309e-01  0.01  0.38  0.7239312  0.0604062090
452    452  5  27.290451  4.749975e-01  0.00  0.30  0.7177426  0.0544671079
79      79  7  50.378681  8.302523e-01  0.00  0.22  0.7245475  0.0635107080
168    168  4  18.827656 -9.549191e-02  0.00  0.46  0.6440858 -0.0146956852
380    380  3  18.513203  3.388521e-02  0.01  0.52  0.6624280  0.0075477577
454    454  5  30.608847  2.684113e-01  0.00  0.38  0.6941489  0.0404276404
394    394  6  34.875947  4.342637e-01  0.00  0.31  0.6978145  0.0443840058
186    186  4  15.521498  2.531300e-01  0.00  0.34  0.6899259  0.0373039656
161    161  4  28.825433  5.977480e-01  0.00  0.27  0.7255975  0.0742287473
409    409  3  13.669671  4.456464e-01  0.01  0.37  0.7248120  0.0815295227
61      61  4  33.888521  7.947440e-01  0.00  0.23  0.7203799  0.0787477062
64      64  4  23.483182  7.615839e-01  0.00  0.23  0.7024454  0.0623141032
298    298  3  18.183011  9.092625e-01  0.01  0.27  0.7152355  0.0780926551
648    648  4  22.108108  2.859219e-01  0.00  0.34  0.6642117  0.0278091347
288    288  4  32.129634  5.423675e-01  0.00  0.27  0.7353705  0.1022576268
461    461  4  27.492051  3.238015e-01  0.00  0.32  0.6602372  0.0274181219
668    668  3  29.590882  7.110387e-02  0.00  0.51  0.6542012  0.0218661966
320    320  5  28.297135  3.251959e-01  0.00  0.36  0.6591287  0.0286721591
768    768  4  17.683022  4.686498e-01  0.00  0.27  0.6703184  0.0407394382
10      10  4  17.843333  6.580333e-01  0.00  0.26  0.6991712  0.0735925042
401    401 11  62.868665  2.211060e+00  0.00  0.06  0.7431540  0.1207516215
307    307  4  23.223042  2.983835e-01  0.00  0.33  0.6642828  0.0449152900
633    633  3  54.001485  1.070610e-01  0.00  0.51  0.6434455  0.0241299530
141    141  3  15.802082  4.143011e-01  0.01  0.37  0.7177740  0.0992417508
221    221  3   8.925544  2.516684e-01  0.02  0.44  0.6585517  0.0425062669
224    224  3  27.798476  6.982869e-01  0.00  0.29  0.6895036  0.0743108592
252    252  3  27.950451  1.173604e+00  0.00  0.22  0.7017194  0.0866421652
96      96 13  54.296336  2.246663e+00  0.00  0.04  0.6918650  0.0796276948
774    774  3  16.357916  3.942665e-01  0.01  0.38  0.6474527  0.0353775946
78      78 10  50.376000  1.040897e+00  0.00  0.12  0.6559525  0.0495463365
720    720  3  10.808894  5.364380e-01  0.02  0.35  0.6733913  0.0671764541
438    438  5  26.630751  4.654552e-01  0.00  0.31  0.6475986  0.0428245914
211    211  5  23.751029  8.802441e-01  0.00  0.24  0.6656120  0.0610025290
533    533  4  18.502808  2.887652e-01  0.00  0.34  0.6365429  0.0325026224
372    372  3  40.384157  1.472447e+00  0.00  0.20  0.7300314  0.1265157767
355    355  3  20.449012  3.552565e-01  0.00  0.39  0.6623362  0.0613116738
199    199  3  13.249771  2.581275e-01  0.01  0.42  0.6521110  0.0520978886
772    772  4  22.063448  9.037389e-01  0.00  0.22  0.6635326  0.0658472482
445    445  3  33.147301  3.886333e-01  0.00  0.38  0.6504215  0.0528138659
475    475  3  44.492350  5.236323e-01  0.00  0.36  0.6724560  0.0748760014
382    382  3  20.977328  9.919572e-01  0.00  0.24  0.7435463  0.1492745915
333    333  4  25.516107  8.269874e-01  0.00  0.23  0.6985019  0.1044990855
121    121 11  54.772295  1.835753e+00  0.00  0.09  0.6793988  0.0856090818
115    115  3  41.144773  2.976281e-01  0.00  0.41  0.6327975  0.0406854908
374    374  3  18.538153  2.505892e-01  0.01  0.44  0.6486010  0.0609254756
659    659  5  23.075206  7.441380e-01  0.00  0.26  0.6566529  0.0693491091
574    574  5  36.544251  1.335159e+00  0.00  0.19  0.7008745  0.1143563364
219    219  3  24.057474  2.462236e-01  0.00  0.44  0.6368367  0.0555312764
379    379  3  24.748525  1.150701e+00  0.00  0.22  0.7183464  0.1390942724
218    218  4  49.063401  7.319769e-01  0.00  0.26  0.6467275  0.0702115628
383    383  8  34.786860  2.210738e+00  0.00  0.07  0.7174847  0.1417837554
273    273  4  20.659721  5.487671e-01  0.00  0.27  0.6697875  0.0974133091
495    495  4  33.192433  8.434974e-01  0.00  0.23  0.7096677  0.1378861202
326    326  4  24.855954  9.489692e-01  0.00  0.19  0.7169406  0.1482169945
70      70  3  27.978694  6.409335e-01  0.00  0.34  0.7107150  0.1422633130
615    615  4  25.440162  1.581196e+00  0.00  0.13  0.7398128  0.1719726655
339    339  6  29.894028  9.783383e-01  0.00  0.17  0.6777975  0.1130709349
162    162  3  27.240523  5.503703e-01  0.00  0.35  0.6653136  0.1056259612
31      31  6  28.378286  1.363753e+00  0.00  0.08  0.6698419  0.1102637127
103    103  3  32.431248  1.156108e+00  0.00  0.22  0.6339184  0.0771277298
723    723  5  30.056092  1.073196e+00  0.00  0.23  0.6540426  0.0976029433
414    414  3  18.001306  4.493732e-01  0.01  0.37  0.6402705  0.0852705563
321    321  3  21.820336  2.908459e+00  0.00  0.04  0.7042471  0.1501018826
799    799  3  66.738371  7.428157e-01  0.00  0.28  0.6706285  0.1175398115
780    780  3  10.763196  4.314063e-01  0.02  0.37  0.6855737  0.1333323104
498    498  4  17.535045  4.975186e-01  0.00  0.27  0.6415863  0.0921967869
138    138  6  44.403975  7.034095e-01  0.00  0.24  0.6324293  0.0835124646
71      71  3  21.223437  1.250203e+00  0.00  0.21  0.6299487  0.0817324441
4        4 16  61.529377  4.077062e+00  0.00  0.00  0.6947325  0.1467828155
743    743  3  10.102957  8.396866e-01  0.02  0.28  0.6726717  0.1261692274
92      92  3  25.318195  4.556938e-01  0.00  0.37  0.6586308  0.1144426627
408    408  5  27.226560  1.518396e+00  0.00  0.16  0.7168639  0.1760236153
521    521  5  24.446846  1.006770e+00  0.00  0.24  0.6394522  0.1007066229
270    270 10  44.088289  3.090109e+00  0.00  0.00  0.6858813  0.1530532479
593    593  4  17.226336  1.061756e+00  0.00  0.16  0.6942165  0.1618178401
731    731  3  36.104374  1.898155e+00  0.00  0.14  0.7085513  0.1769562660
388    388  5  33.058203  1.172378e+00  0.00  0.21  0.6607298  0.1292854259
